PERMNO,date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,BID,ASK,SHROUT,CFACPR
84415,20000929,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.875,9.125,8.3125,8.0625,8.4375,7000,0.25
84415,20001031,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,5.625,8.375,5.625,5.5,6.0625,7000,0.25
84415,20001130,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,5.875,7.75,7.5,7.25,7.5,7000,0.25
84415,20001229,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.0625,8.5,7.25,6.75,7.1875,7000,0.25
84415,20010131,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.875,8.375,8.125,8.0625,8.1875,7000,0.25
84415,20010228,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.375,8.6875,7.375,7.375,7.8125,7000,0.25
84415,20010330,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,5,7.5625,5.03125,5,5.1875,7000,0.25
84415,20010430,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,4.45,5.09375,4.95,4.71,4.95,7000,0.25
84415,20010531,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,4.5,5.5,4.5,4.51,4.55,7000,0.25
84415,20010629,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,3.87,4.55,3.91,3.88,3.99,7000,0.25
84415,20010731,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.86,4.18,2.86,2.8,3,7000,0.25
84415,20010831,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.05,2.95,2.25,2.15,2.25,7000,0.25
84415,20010928,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.25,3.1,3.1,2.9,3.1,7000,0.25
84415,20011031,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.21,3,2.25,2.13,2.25,7000,0.25
84415,20011130,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.05,2.75,2.75,2.65,2.75,7000,0.25
84415,20011231,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.75,3.8,3.8,3.75,3.86,9985,0.25
84415,20020131,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,3.8,4.15,3.86,3.85,4,9985,0.25
84415,20020228,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,3.5,4.05,3.91,3.91,4,9985,0.25
84415,20020328,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,-3.76,4.03,3.83,3.83,3.9,10018,0.25
84415,20020430,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,3.41,4,-3.585,3.4,3.77,10018,0.25
84415,20020531,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,3.15,3.73,3.15,3.15,3.42,10018,0.25
84415,20020628,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.8,3.27,3.23,3.23,3.37,10075,0.25
84415,20020731,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.44,3,2.8,2.8,2.82,10075,0.25
84415,20020830,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.26,2.9,2.5,2.26,2.56,10075,0.25
84415,20020930,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.24,2.7489,2.38,2.15,2.25,10075,0.25
84415,20021031,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.02,2.38,2.0688,2.03,2.1,10075,0.25
84415,20021129,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2,2.38,2.2,2.18,2.2,10075,0.25
84415,20021231,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.12,2.35,2.3,2.05,2.13,13449,0.25
84415,20030131,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.1,2.41,2.24,2.11,2.24,13449,0.25
84415,20030228,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.1,2.3,-2.165,2.13,2.2,13449,0.25
84415,20030331,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,-2.16,2.41,2.3,2.18,2.3,13449,0.25
84415,20030430,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.18,2.55,-2.445,2.41,2.48,13449,0.25
84415,20030530,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,-2.445,2.7,2.51,2.5,2.7,13449,0.25
84415,20030630,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.64,3.25,-3.075,3.05,3.1,13449,0.25
84415,20030731,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,3.05,3.7,3.51,3.51,3.7,13449,0.25
84415,20030829,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.31,3.69,3.54,3.37,3.54,13449,0.25
84415,20030930,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.431,4,3.75,3.75,3.84,13449,0.25
84415,20031031,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.75,4.55,4.25,4.25,4.54,13449,0.25
84415,20031128,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.25,5.5,5.03,4.86,5.03,13449,0.25
84415,20031231,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.2,7.04,5.9,5.96,5.99,13484,0.25
84415,20040130,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.64,7.49,7.15,6.91,6.93,13484,0.25
84415,20040227,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.51,7.08,5.57,5.5,5.57,13484,0.25
84415,20040331,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.63,5.46,5.15,5.14,5.15,13484,0.25
84415,20040430,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.03,5.4,5.18,5.06,5.19,13484,0.25
84415,20040528,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.98,5.39,5.28,5.19,5.28,13522,0.25
84415,20040630,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.05,5.5,5.261,5.26,5.34,13522,0.25
84415,20040730,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.04,5.49,4.2,4.13,4.25,13522,0.25
84415,20040831,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.03,4.92,4.12,4.15,4.34,13522,0.25
84415,20040930,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.1,4.42,4.3,4.23,4.31,13522,0.25
84415,20041029,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.1,4.35,4.101,4.1,4.23,13522,0.25
